object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,object id,period_dynasty,period_century
62-15,江南的春天,公元18世纪-1766~1766-清,卷轴、绘画,专辑页被安装为悬挂卷轴;纸上有墨水和颜色,王远秋用浅蓝色和绿色的色彩保存了这舒适的江景，几抹粉红色回忆起《桃子有春天》的古老回忆。这个故事的主题非常简洁、井然有序。毫不奇怪，干隆皇帝（1736 -95年在位）对这幅画非常感兴趣。海因斯写了这幅图画，宣称这是“令人愉悦的美丽”，以宣扬历史和帝国在他统治下的状态。,总体尺寸：12 1/4 x 9 3/4英寸（31.12 x 24.77厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1396/spring-in-the-jiangnan-region;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=10,https://art.nelson-atkins.org/internal/media/dispatcher/28681/full,images/nelson-atkins/62-15.jpg,购买：威廉・罗克希尔・尼尔森信托,62-15,2026/5/3,11,未知,未知
1986/3/6,赵大年之后的风景,公元17世纪-1621~1624-明,绘画，明代（1368-1644）,相册页;纸上的墨水和颜色,未知,图像：22 1/8 x 1/4 1/4英寸（56.2 x 36.2厘米）纸张：24 3/4 x 16英寸（62.87 x 40.64厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1525/landscape-after-zhao-danian;jsessionid=5E11891029B14FCC0AF24B93DBC56C54?ctx=aee948e18aa9dc01dd03c38081930a324743cd6a&idx=11,https://art.nelson-atkins.org/internal/media/dispatcher/29415/full,images\nelson-atkins\11.jpg,购买:通过霍尔家族基金会的慷慨和其他信托财产的交换获得,1986/3/6,2026/5/3,12,未知,未知
49-19,荆棘、竹子和安静的鸟,公元14世纪-1343~1343-元,卷轴、绘画,挂卷轴;纸上墨,周围有树木，上面有茎，下面是新草的竹子和丛生。对于像张彦夫这样的中国共产党艺术家来说，枯树、岩石和竹子的形象象征着他们的生命力和完整性。张彦夫添加了一只鸟和小花，春天周围都是春天。对树的题字--艺术家同时代的人所写的--注释张彦夫是道教人士，为这座寺庙的朋友画了这篇文章。这篇文章和风景，六首诗参考了世俗元素。,底座：101 x 27 1/4英寸（256.54 x 69.22厘米）图像：25 1/4 x 20英寸（64.14 x 50.8厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1528/thorns-bamboo-and-quiet-birds?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=12,https://art.nelson-atkins.org/internal/media/dispatcher/26309/full,images/nelson-atkins/49-19.jpg,购买：威廉・罗克希尔・尼尔森信托,49-19,2026/5/3,13,未知,未知
60-36/8,桃花工作室,公元17世纪-1671~1671-清,绘画，清朝（1644-1911）,专辑叶;墨水和水彩画在纸上，带有丝绸底座,未知,图像：9 5/8 x 17 3/4英寸（24.45 x 45.09厘米）底座：1/4 1/4 x 21 1/2英寸（36.2 x 54.61厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1598/the-peach-blossom-studio?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=13,https://art.nelson-atkins.org/internal/media/dispatcher/27596/full,images\nelson-atkins\13.jpg,购买：威廉・罗克希尔・尼尔森信托,60-36/8,2026/5/3,14,未知,未知
68-43,松鼠和葡萄,公元15世纪-1450~1450-明,卷轴、绘画,悬挂卷轴;纸上的墨水和颜色,岳政，1418- 1473中国松鼠和葡萄，日期1450挂卷轴，水墨和彩色纸葡萄，古代中国的宝贵水果，吴是岳正最喜欢的对象，他在担任公职期间也担任过职务。据报道，岳也选择了他们，对他们的细长躯干、丰富的绿色线条、弯曲的静脉和多汁的urplishbries。在中国绘画中使用传统的类比，艺术家将绅士的美德等同于绅士的美德。同样，松鼠也将优雅的替代品，并证明了丰富和扩散。中国画家在一天内解决了一系列短线，以改善松鼠的纹理rels '柔软，毛茸茸的毛皮。购买：WilliamRockhillNelsonTrust，68-43,总体尺寸：48 1/2 x 16 3/8英寸（123.19 x 41.59厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1626/squirrels-and-grapes?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=14,https://art.nelson-atkins.org/internal/media/dispatcher/33907/full,images/nelson-atkins/68-43.jpg,购买：威廉・罗克希尔・尼尔森信托,68-43,2026/5/3,15,未知,未知
46-42,雨后的山丘和溪流,公元14世纪~公元17世纪-1368~1644-明,卷轴、绘画,手卷;纸上的墨水和颜色,陈春将两种传统元素结合在了这片风景中。作为一位热爱色彩的恋人，陈将单色米风格与蓝色和绿色色彩融为一体。由米富（Mifu，1051-1107）提出的“米风格”是一种用于消除现代主义、氛围效果的方法。,总体尺寸：10 3/8 x 65 3/4英寸（26.35 x 167.01厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/1827/hills-and-streams-after-rain?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=15,https://art.nelson-atkins.org/internal/media/dispatcher/132648/full,images/nelson-atkins/46-42.jpg,购买：威廉・罗克希尔・尼尔森信托,46-42,2026/5/3,16,明,未知
1986/3/7,杜甫一首诗后的风景“云过后岩崖露锦绣面”,公元17世纪-1621~1624-明,绘画，明代（1368-1644）,相册页;纸上的墨水和颜色,未知,图像：22 x 13 3/4英寸（55.88 x 34.93厘米）纸张：24 3/4 x 16英寸（62.87 x 40.64厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2169/landscape-after-a-poem-by-du-fu-the-rock-cliff-reveals-aft?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=16,https://art.nelson-atkins.org/internal/media/dispatcher/29416/full,images\nelson-atkins\16.jpg,购买:通过霍尔家族基金会的慷慨和其他信托财产的交换获得,1986/3/7,2026/5/3,17,未知,未知
59-24/19,绿树成荫,公元17世纪~公元20世纪-1644~1911-清,绘画，清朝（1644-1911）,专辑叶;纸上的墨水,未知,总体尺寸：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2216/grove-of-trees-with-rocks?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=17,https://art.nelson-atkins.org/internal/media/dispatcher/34142/full,images\nelson-atkins\17.jpg,购买：威廉・罗克希尔・尼尔森信托,59-24/19,2026/5/3,18,清,未知
59-24/20,山路上的和尚,公元17世纪~公元20世纪-1644~1911-清,绘画，清朝（1644-1911）,专辑叶;纸上的墨水,未知,总体尺寸：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2217/monk-on-mountain-path?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=18,https://art.nelson-atkins.org/internal/media/dispatcher/34143/full,images\nelson-atkins\18.jpg,购买：威廉・罗克希尔・尼尔森信托,59-24/20,2026/5/3,19,清,未知
59-24/37,树木研究,公元17世纪~公元20世纪-1644~1911-清,绘画，清朝（1644-1911）,专辑叶;纸上的颜色和墨水,未知,总体尺寸：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2231/tree-studies?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=19,https://art.nelson-atkins.org/internal/media/dispatcher/37022/full,images\nelson-atkins\19.jpg,购买：威廉・罗克希尔・尼尔森信托,59-24/37,2026/5/3,20,清,未知
33-1454,文官墓像,公元7世纪~公元10世纪-618~906-唐,陶瓷，唐（公元618-906年）,彩色无釉粘土,未知,总体尺寸：24 3/4 x 7 1/4 x 5 1/4英寸（62.87 x 18.42 x 13.34厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2334/tomb-figurine-of-a-civil-official?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=20,https://art.nelson-atkins.org/internal/media/dispatcher/17330/full,images/nelson-atkins/33-1454.jpg,购买：威廉・罗克希尔・尼尔森信托,33-1454,2026/5/3,21,唐,未知
59-24/36,四瀑布和山脉,公元17世纪~公元20世纪-1644~1911-清,绘画，清朝（1644-1911）,专辑叶、纸张上的颜色和墨水,未知,总体尺寸：14 1/2 x 11 1/2英寸（36.83 x 29.21厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2675/four-waterfalls-and-mountains?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=21,https://art.nelson-atkins.org/internal/media/dispatcher/37021/full,images\nelson-atkins\21.jpg,购买：威廉・罗克希尔・尼尔森信托,59-24/36,2026/5/3,22,清,未知
Oct-58,从一个元朝官员的仕途看,公元13世纪~公元14世纪-1279~1368-宋/元/明,卷轴、绘画,手卷;丝绸上的墨水和色彩,在这部作品中，故事是在建筑和人物设置中的几个小场景中展示的。这种风格主义公式是视觉讲故事的共同方法，但在原始语境丢失时会造成混乱。1700年的中国皇帝在这幅绘画上写下了中国将军赵玉（活跃于1111 -1125年）镇压了该地区。尽管与图像的差异，他的铭文反映了忠诚和团结的要求。现代人取代了绘画中的伟人，他们屈服于世俗政权，他们改变了他的宋风制服，变成了蒙古和白地。,总体尺寸：15 1/2 x 156英寸（39.37 x 396.24厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3092/episodes-from-the-career-of-a-yuan-official?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=22,https://art.nelson-atkins.org/internal/media/dispatcher/27591/full,images/nelson-atkins/58-10.jpg,购买：威廉・罗克希尔・尼尔森信托,Oct-58,2026/5/3,23,未知,未知
48-15,五龙图,公元12世纪~公元13世纪-1127~1279-南宋/宋,卷轴、绘画,手卷；纸本水墨画,未知,总体：13 1/2 x 23 1/2英寸（34.29 x 59.69厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3274/five-dragons-wulung-tu?ctx=080ddc920add31bb7fb34dd2e043f728b8407e0e&idx=23,https://art.nelson-atkins.org/internal/media/dispatcher/26306/full,images/nelson-atkins/48-15.jpg,购买：威廉・罗克希尔・尼尔森信托,48-15,2026/5/3,24,南宋,未知
46-50,在旭阳告别,公元14世纪~公元17世纪-1368~1644-明,卷轴、绘画,手卷;墨水和纸上的全彩色,这是绘画插画诗《鲁特歌》（琵帕星）》作者：白居易在816年被降职时所写，拜比在中国南部的旭阳河岸附近的聚会上告别了。一边在月光下喝酒，派对听到阿皮帕上播放的生动音乐（中国人）和观众都参加了庆祝活动。表演结束后，乐手们讲述了她从首都失去财富的故事，这赢得了白对她的同情。蓝色和绿色的财富让人想起古代。很明亮，厚重的颜料表明这幅画可能是为邱英所联系的一位富裕客户而创作的。,图像：13 1/4 x 157 3/8英寸（33.66 x 399.73厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3338/saying-farewell-at-xunyang?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=24,https://art.nelson-atkins.org/internal/media/dispatcher/39395/full,images/nelson-atkins/46-50.jpg,购买：威廉・罗克希尔・尼尔森信托,46-50,2026/5/3,25,明,未知
60-36/6,山间湖岸村庄,公元17世纪-1671~1671-清,绘画，清朝（1644-1911）,专辑叶;墨水和水彩画在纸上，带有丝绸底座,艺术家的铭文：“我画了Isawinaduum的东西。朋友[seesitand]说，‘我[家乡]的theshelakesin经常有这样的东西。’”龚贤用密集的声音和水的声音唤起了从山坡上看到的真实的可能性和风景。无论真实还是不真实，都是对山坡景观的卓越想象。在他50多岁的时候，龚贤搬到了南京郊区的这座古代山峰，在那里他在附近的一个页面上创造了这片叶子。,图像：9 5/8 x 17 3/4英寸（24.45 x 45.09厘米）底座：1/4 1/4 x 21 1/2英寸（36.2 x 54.61厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3376/village-on-a-mountainous-lakeshore?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=25,https://art.nelson-atkins.org/internal/media/dispatcher/34148/full,images\nelson-atkins\25.jpg,购买：威廉・罗克希尔・尼尔森信托,60-36/6,2026/5/3,26,未知,未知
F78-18/10,秋山之上的对话,公元17世纪~公元20世纪-1644~1911-清,绘画，清朝（1644-1911）,专辑叶;水墨水彩，配有丝绸底座,李诗卓瓦是满洲官方的全部绘画作品，从他那个时代的著名文学家那里学习。他的画作延续了古典主义的绘画传统，但与此同时，他们在描绘巨石和悬崖的干笔画和描绘云沙水的壁画中展示了个人敏感性。一般来说，他对色彩的使用遵循了传统，在编辑上节约地、更多地使用了民主的强度来增强其创作目的。然而，在日出之前大胆使用了拉梅尔的画作，但在更真实地代表了自然的转变情绪中，没有被反映出来，也没有被有趣。,图像：9 1/2 × 5 3/4英寸（24.13 × 14.61厘米）安装：1/2 1/4 × 7 1/2英寸（31.12 × 19.05厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3449/conversation-atop-autumn-mountains?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=26,https://art.nelson-atkins.org/internal/media/dispatcher/34685/full,images\nelson-atkins\26.jpg,购买:通过匿名捐赠者的慷慨获得,F78-18/10,2026/5/3,27,清,未知
60-36/5,远岸荒凉的树林,公元17世纪-1671~1671-清,绘画，清朝（1644-1911）,专辑叶;墨水和水彩画在纸上，带有丝绸底座,未知,图像：9 5/8 x 17 3/4英寸（24.45 x 45.09厘米）底座：1/4 1/4 x 21 1/2英寸（36.2 x 54.61厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/3523/desolate-grove-on-the-far-bank?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=27,https://art.nelson-atkins.org/internal/media/dispatcher/34626/full,images\nelson-atkins\27.jpg,购买：威廉・罗克希尔・尼尔森信托,60-36/5,2026/5/3,28,未知,未知
F79-48/1,龙,公元18世纪-1712~1712-清,绘画，清朝（1644-1911）,纸上的墨水和颜色,未知,图像：14 1/8 x 22 9/16英寸（35.88 x 57.31厘米）底座：17 7/16 x 25 7/8英寸（44.29 x 65.72厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/4062/dragon?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=28,https://art.nelson-atkins.org/internal/media/dispatcher/34687/full,images\nelson-atkins\28.jpg,购买:乔治·H夫人小邦廷基金,F79-48/1,2026/5/3,29,未知,未知
Aug-58,竹子和岩石,公元14世纪~公元17世纪-1368~1644-明,卷轴、绘画,手卷；纸本水墨画,竹子长期以来一直是中国文学文化中的关键主题。由于其正直、迎风而不破，它同时象征着儒家学者的完整性和毅力，同时又不失其谦逊。中国画中的主题，竹子就接近于书法。由于树叶和节点往往是用一笔笔来代表的，任何弱点或犹豫都立即暴露出来。王甫敏锐地捕捉到了竹子的痕迹，但这幅画的真实性并不是源自其主题的忠实描绘，而是源自于色彩和半抽象图案的相互作用。,总尺寸：14 × 91 1/2英寸（35.56 × 232.41厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/4784/bamboo-and-rocks?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=29,https://art.nelson-atkins.org/internal/media/dispatcher/152079/full,images/nelson-atkins/58-8.jpg,购买：威廉・罗克希尔・尼尔森信托,Aug-58,2026/5/3,30,明,未知
76-10/7 B,牡丹、花园岩石和昆虫,公元13世纪末~公元14世纪初-1268~1333-宋/元,卷轴、绘画,悬挂卷轴;丝绸上的墨水和色彩（镶板）,未知,图像：60 1/4 x 34 1/4英寸（153.04 x 87厘米）底座：76 1/2 x 41 1/8英寸（194.31 x 104.46厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/4887/tree-peonies-garden-rocks-and-insects?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=30,https://art.nelson-atkins.org/internal/media/dispatcher/37990/full,images\nelson-atkins\30.jpg,布朗森·特雷弗（Bronson Trevor）赠送的礼物，以纪念他的父亲约翰·B。特雷弗,76-10/7 B,2026/5/3,31,未知,13世纪
F75-41,溪流山中的秋色,公元17世纪-1663~1663-清,卷轴、绘画,悬挂卷轴;纸上的墨水和水彩画,未知,图像：43 x 19 3/8英寸（109.22 x 49.21厘米）底座：90 x 23英寸（228.6 x 58.42厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/5060/the-mood-of-autumn-among-streams-and-mountains?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=31,https://art.nelson-atkins.org/internal/media/dispatcher/27611/full,images/nelson-atkins/F75-41.jpg,购买:尼尔森画廊基金会,F75-41,2026/5/3,32,未知,未知
49-79,赤壁,公元12世纪~公元13世纪-1127~1279-南宋/宋,卷轴、绘画,专辑叶被安装为悬挂卷轴;丝绸水彩画,苏适（1037-1101）的散文《红崖诗》中，绘画插画家上升，描绘了探访历史战场的情景。李松可能受到了南宋都西湖的海浪的启发。他的激流和浪潮唤起了战争的阴影，反映了诗人的符号反应。,图像：9 3/4 x 10 3/8英寸（24.77 x 26.37厘米）总体（3/4英寸悬垂线）：58 x 17 3/8英寸（147.32 x 44.15厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/5220/the-red-cliff?ctx=1ffeddbe91099a73dc6a4f588a106918069ed976&idx=32,https://art.nelson-atkins.org/internal/media/dispatcher/26310/full,images/nelson-atkins/49-79.jpg,购买：威廉・罗克希尔・尼尔森信托,49-79,2026/5/3,33,南宋,未知
